MINI,MISC,Mitsubishi,Morgan,Nissan,Oldsmobile,Plymouth,Pontiac,Porsche,RAM,Rolls-Royce
2019 Jaguar XJ,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80JAC101A021001.jpg,18 City / 27 Hwy,5 Passengers,8-spd w/OD,340 @ 6500 rpm,rear-wheel,"['3.0L V-6 Engine', '8-spd w/OD Transmission', '340 @ 6,500 rpm Horsepower', '332 @ 3,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row exterior express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'InControl Navigation with voice activation Navigation system', 'Parking assist']"
2019 Jaguar E-PACE,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80JAS021B021001.jpg,21 City / 28 Hwy,5 Passengers,9-spd auto w/OD,246 @ 5500 rpm,all wheel,"['2.0L I-4 Engine', '9-spd auto w/OD Transmission', '246 @ 5,500 rpm Horsepower', '269 @ 1,200 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'cloth Seat trim', 'Parking assist']"
2019 Jaguar XF,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90JAC131C021001.jpg,31 City / 42 Hwy,5 Passengers,8-spd w/OD,180 @ 4000 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd w/OD Transmission', '247 @ 5,500 rpm Horsepower', '269 @ 1,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row exterior express open/close sliding and tilting glass Sunroof', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'LuxTec leatherette Seat trim']"
2019 Jaguar XE,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70JAC151C021001.jpg,32 City / 42 Hwy,5 Passengers,8-spd w/OD,180 @ 4000 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd w/OD Transmission', '247 @ 5,500 rpm Horsepower', '269 @ 1,300 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row exterior express open/close sliding and tilting glass Sunroof', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'LuxTec leatherette Seat trim']"
2019 Jeep Wrangler Unlimited,3.6LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80JES162A021001.jpg,17 City / 23 Hwy,5 Passengers,6-spd man w/OD,285 @ 6400 rpm,four-wheel,"['3.6L V-6 Engine', '6-spd man w/OD Transmission', '285 @ 6,400 rpm Horsepower', '260 @ 4,800 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '17"" black styled steel Wheels', 'front air conditioning, manual', 'AM/FM/Satellite-prep, seek-scan Radio', '1st row LCD monitor', 'front Fog/driving lights', 'manual Convertible top', 'cloth Seat trim', 'driver Lumbar support']"
2019 Jeep Renegade,2.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90JES171B021001.jpg,22 City / 30 Hwy,5 Passengers,9-spd auto w/OD,180 @ 6400 rpm,front-wheel,"['2.4L I-4 Engine', '9-spd auto w/OD Transmission', '180 @ 6,400 rpm Horsepower', '175 @ 3,900 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" black styled steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim']"
2019 Jeep Cherokee,2.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90JES041A021001_2.jpg,22 City / 31 Hwy,5 Passengers,9-spd w/OD,180 @ 6400 rpm,front-wheel,"['2.4L I-4 Engine', '9-spd w/OD Transmission', '180 @ 6,400 rpm Horsepower', '171 @ 4,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" silver steel Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'cloth Seat trim']"
2019 Jeep Grand Cherokee,3.6LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70JES052A021001.jpg,19 City / 26 Hwy,5 Passengers,8-spd auto w/OD,293 @ 6400 rpm,rear-wheel,"['3.6L V-6 Engine', '8-spd auto w/OD Transmission', '293 @ 6,400 rpm Horsepower', '260 @ 4,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'cloth Seat trim', 'ParkSense with Stop Parking assist']"
2019 Kia Sorento,2.4LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90KIS021A021001.jpg,22 City / 29 Hwy,7 Passengers,6-spd w/OD,185 @ 6000 rpm,front-wheel,"['2.4L I-4 Engine', '6-spd w/OD Transmission', '185 @ 6,000 rpm Horsepower', '178 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'YES Essentials premium cloth Seat trim', '50-50 split-bench Third row seats']"
2019 Kia Niro,I-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70KIS041D021001_2.jpg,52 City / 49 Hwy,5 Passengers,6-spd auto-shift man w/OD,104 @ 5700 rpm,front-wheel,"['1.6L I-4 Engine', '6-spd auto-shift man w/OD Transmission', '104 @ 5,700 rpm Horsepower', '109 @ 4,000 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '16"" aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Kia Stinger,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90KIC191A021001.jpg,22 City / 29 Hwy,5 Passengers,8-spd w/OD,255 @ 6200 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd w/OD Transmission', '255 @ 6,200 rpm Horsepower', '260 @ 1,400 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" machined aluminum Wheels', 'front air conditioning, automatic', 'rear air conditioning, yes', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim', 'driver Lumbar support', 'Parking assist']"
2019 Kia Forte,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90KIC111A021001.jpg,27 City / 37 Hwy,5 Passengers,6-spd man w/OD,147 @ 6200 rpm,front-wheel,"['2.0L I-4 Engine', '6-spd man w/OD Transmission', '147 @ 6,200 rpm Horsepower', '132 @ 4,500 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '15"" steel Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'cloth Seat trim']"
2019 Lamborghini Aventador S,6.5LV-12,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LGC041B01300.jpg,10 City / 17 Hwy,2 Passengers,7-spd auto-shift man w/OD,729 @ 8400 rpm,all wheel,"['6.5L V-12 Engine', '7-spd auto-shift man w/OD Transmission', '729 @ 8,400 rpm Horsepower', '507 @ 5,500 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '20"" silver forged aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'Navigation system', 'Parking assist']"
2019 Lamborghini Huracan,5.2LV-10,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LGC051B01296.jpg,13 City / 18 Hwy,2 Passengers,7-spd auto-shift man w/OD,630 @ 8000 rpm,all wheel,"['5.2L V-10 Engine', '7-spd auto-shift man w/OD Transmission', '573 @ 8,000 rpm Horsepower', '398 @ 6,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim']"
2019 Lamborghini Urus,4.0LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LGS011A01296.jpg,12 City / 17 Hwy,5 Passengers,8-spd auto w/OD,641 @ 6000 rpm,all wheel,"['4.0L V-8 Engine', '8-spd auto w/OD Transmission', '641 @ 6,000 rpm Horsepower', '626 @ 2,250 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '21"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2018 Lamborghini Huracan,5.2LV-10,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC50LGC051A01300.jpg,14 City / 19 Hwy,2 Passengers,7-spd auto-shift man w/OD,602 @ 8250 rpm,all wheel,"['5.2L V-10 Engine', '7-spd auto-shift man w/OD Transmission', '573 @ 8,000 rpm Horsepower', '398 @ 6,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim']"
2019 Land Rover Range Rover Velar,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS121C021001.jpg,21 City / 27 Hwy,5 Passengers,8-spd auto w/OD,247 @ 5500 rpm,four-wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '247 @ 5,500 rpm Horsepower', '269 @ 1,200 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '1st and 2nd row exterior express open/close sliding and tilting glass Sunroof', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Luxtec/Suedecloth simulated suede/leatherette Seat trim', 'Parking assist']"
2019 Land Rover Discovery Sport,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS113A021001.jpg,21 City / 25 Hwy,5 Passengers,9-spd w/OD,237 @ 5500 rpm,Terrain Response four-wheel,"['2.0L I-4 Engine', '9-spd w/OD Transmission', '237 @ 5,500 rpm Horsepower', '251 @ 1,250 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'cloth/leather Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Land Rover Range Rover Evoque,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS102B021001.jpg,22 City / 29 Hwy,5 Passengers,9-spd auto w/OD,237 @ 5500 rpm,Terrain Response four-wheel,"['2.0L I-4 Engine', '9-spd auto w/OD Transmission', '237 @ 5,500 rpm Horsepower', '251 @ 1,250 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Land Rover Range Rover Sport,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS071C021001_2.jpg,17 City / 23 Hwy,5 Passengers,8-spd w/OD,340 @ 6500 rpm,Terrain Response four-wheel,"['3.0L V-6 Engine', '8-spd w/OD Transmission', '340 @ 6,500 rpm Horsepower', '332 @ 3,500 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Front and Rear Parking Aid Parking assist']"
2019 Lexus RX 350,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LES121A021001.jpg,20 City / 28 Hwy,5 Passengers,8-spd auto w/OD,295 @ 6300 rpm,front-wheel,"['3.5L V-6 Engine', '8-spd auto w/OD Transmission', '295 @ 6,300 rpm Horsepower', '267 @ 4,700 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support']"
2019 Lexus ES 300h,I-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LEC251A021001.jpg,43 City / 45 Hwy,5 Passengers,1-spd CVT w/OD,176 @ 5700 rpm,front-wheel,"['2.5L I-4 Engine', '1-spd CVT w/OD Transmission', '176 @ 5,700 rpm Horsepower', '163 @ 3,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '17"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support']"
2019 Lexus GS 350,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC60LEC171A021001.jpg,20 City / 28 Hwy,5 Passengers,8-spd auto w/OD,311 @ 6400 rpm,rear-wheel,"['3.5L V-6 Engine', '6-spd auto w/OD Transmission', '311 @ 6,400 rpm Horsepower', '280 @ 4,800 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '18"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support', 'Navigation system']"
2019 Lexus GX 460,4.6LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LES151A021001.jpg,15 City / 18 Hwy,7 Passengers,6-spd auto w/OD,301 @ 5500 rpm,four-wheel,"['4.6L V-8 Engine', '6-spd auto w/OD Transmission', '301 @ 5,500 rpm Horsepower', '329 @ 3,400 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support', '50-50 split-bench Third row seats']"
2019 Lincoln Navigator,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS012C021001_2.jpg,16 City / 23 Hwy,7 Passengers,10-spd w/OD,450 @ 5500 rpm,rear-wheel,"['3.5L V-6 Engine', '10-spd w/OD Transmission', '450 @ 5,500 rpm Horsepower', '500 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Navigation system', 'Parking assist']"
2019 Lincoln MKT,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS052A021001.jpg,15 City / 21 Hwy,7 Passengers,6-spd w/OD,365 @ 5700 rpm,all wheel,"['3.5L V-6 Engine', '6-spd w/OD Transmission', '365 @ 5,700 rpm Horsepower', '350 @ 3,500 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '1st row exterior express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '50-50 split-bench Third row seats', 'Navigation system', 'Reverse Sensing System Parking assist']"
2019 Lincoln Continental,3.7LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LIC011B021001.jpg,17 City / 26 Hwy,5 Passengers,6-spd w/OD,305 @ 6500 rpm,front-wheel,"['3.7L V-6 Engine', '6-spd w/OD Transmission', '305 @ 6,500 rpm Horsepower', '280 @ 4,000 rpm Torque', 'front-wheel Drive type', 'driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Lincoln Soft Touch leatherette Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Lincoln Navigator L,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS041A021001.jpg,16 City / 22 Hwy,7 Passengers,10-spd w/OD,450 @ 5500 rpm,rear-wheel,"['3.5L V-6 Engine', '10-spd w/OD Transmission', '450 @ 5,500 rpm Horsepower', '500 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '22"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Navigation system', 'Parking assist']"
